sales_outlet_id,transaction_date,product_id,start_of_day,quantity_sold,waste,% waste,product,current_wholesale_price,current_retail_price,wastage_cost
3,4/1/2019,69,18,8,10,56%,Hazelnut Biscotti,2.28,3.5,22.8
3,4/1/2019,70,18,12,6,33%,Cranberry Scone,2.11,3.25,12.66
3,4/1/2019,71,18,8,10,56%,Chocolate Croissant,2.44,3.75,24.4
3,4/1/2019,72,48,9,39,81%,Ginger Scone,2.11,3.25,82.29
3,4/1/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
3,4/2/2019,69,18,7,11,61%,Hazelnut Biscotti,2.28,3.5,25.08
3,4/2/2019,70,18,10,8,44%,Cranberry Scone,2.11,3.25,16.88
3,4/2/2019,71,18,10,8,44%,Chocolate Croissant,2.44,3.75,19.52
3,4/2/2019,72,48,10,38,79%,Ginger Scone,2.11,3.25,80.18
3,4/2/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
3,4/3/2019,69,18,8,10,56%,Hazelnut Biscotti,2.28,3.5,22.8
3,4/3/2019,70,18,5,13,72%,Cranberry Scone,2.11,3.25,27.43
3,4/3/2019,71,18,4,14,78%,Chocolate Croissant,2.44,3.75,34.16
3,4/3/2019,72,48,9,39,81%,Ginger Scone,2.11,3.25,82.29
3,4/3/2019,73,18,15,3,17%,Almond Croissant,2.44,3.75,7.32
3,4/4/2019,69,18,10,8,44%,Hazelnut Biscotti,2.28,3.5,18.24
3,4/4/2019,70,18,9,9,50%,Cranberry Scone,2.11,3.25,18.99
3,4/4/2019,71,18,10,8,44%,Chocolate Croissant,2.44,3.75,19.52
3,4/4/2019,72,48,10,38,79%,Ginger Scone,2.11,3.25,80.18
3,4/4/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
3,4/5/2019,69,18,0,0,0,Hazelnut Biscotti,2.28,3.5,0
3,4/6/2019,69,18,14,4,22%,Hazelnut Biscotti,2.28,3.5,9.12
3,4/6/2019,70,18,11,7,39%,Cranberry Scone,2.11,3.25,14.77
3,4/6/2019,71,18,13,5,28%,Chocolate Croissant,2.44,3.75,12.2
3,4/6/2019,72,48,23,25,52%,Ginger Scone,2.11,3.25,52.75
3,4/6/2019,73,18,9,9,50%,Almond Croissant,2.44,3.75,21.96
3,4/7/2019,69,18,6,12,67%,Hazelnut Biscotti,2.28,3.5,27.36
3,4/7/2019,70,18,3,15,83%,Cranberry Scone,2.11,3.25,31.65
3,4/7/2019,71,18,3,15,83%,Chocolate Croissant,2.44,3.75,36.6
3,4/7/2019,72,48,11,37,77%,Ginger Scone,2.11,3.25,78.07
3,4/7/2019,73,18,3,15,83%,Almond Croissant,2.44,3.75,36.6
3,4/8/2019,69,18,12,6,33%,Hazelnut Biscotti,2.28,3.5,13.68
